license_number,entity_name,telephone_number,shl_endorsed,building,street,city,state,postcode,type_of_base,latitude,longitude,date
B03582,ESTHER CAR SERVICES LLC,'7184142233',No,3498,JEROME AVENUE,BRONX,NY,10467,BLACK CAR BASE,,,04/21/2024
B03559,GDA TRANSPORTATION INC,'9296510121',No,175,PEARL STREET,BROOKLYN,NY,11201,BLACK CAR BASE,,,04/21/2024
B03578,1 NYC EMPIRE TRANS INC.,'3479939793',No,97-28,221 STREET,QUEENS VILLAGE,NY,11429,BLACK CAR BASE,,,04/21/2024
B03584,SURGEO APP INC.,'8667874365',No,2526,50TH STREET  STE 209B,WOODSIDE,NY,11377,BLACK CAR BASE,,,04/21/2024
B03467,SIMPLE RIDE TRANSPORTATION INC.,'9172800935',No,370,EAST 149TH STREET  SUITE 2,BRONX,NY,10455,BLACK CAR BASE,409967453,-736757618,04/21/2024
B02256,EUROPE LIMOUSINE SERVICE INC.,'2014773200',No,24,FARVIEW TERRACE,PARAMUS,NJ,7652,BLACK CAR BASE,40922042,-74069773,04/21/2024
B90334,TAMAR TRANSP CORP,'7183681111',No,601,BRIGHTON BEACH_AVE,BROOKLYN,NY,11235,PARATRANSIT BASE,40577898,-73961479,04/21/2024
B01311,DISCOUNT CAR SVCE,'7187400101',No,94-44,213 STREET,QUEENS VILLAGE,NY,11428,LIVERY BASE,4071643,-7374506,04/21/2024
B01339,R C AUDUBON SVC INC,'2129238787',Yes,2224,AMSTERDAM AVENUE,NEW YORK,NY,10032,LIVERY BASE,40838228,-73937654,04/21/2024
B03107,JD XPRESS INC.,'3475084118',No,118 - 35,QUEENS BOULEVARD  SUITE #400,FOREST HILLS,NY,11375,BLACK CAR BASE,407148204,-738310437,04/21/2024
B03233,COMPASS TRANSPORTATION GROUP WORLDWIDE INC,'6468689027',No,1040,HEMPSTEAD TURNPIKE  LL2,FRANKLIN SQUARE,NY,11010,LUXURY/LIMOUSINE,40708003,-736786779,04/21/2024
B02899,NEW BLACK LUXURY CARS CORP,'7183887777',No,390,BROADWAY,BROOKLYN,NY,11211,BLACK CAR BASE,40707063,-7395449,04/21/2024
B03168,KAYROS TRANSPORTATION INC,'9174408678',No,726,BROADWAY,BAYONNE,NJ,7002,BLACK CAR BASE,406717762,-741114053,04/21/2024
B02254,FINESSE GROUP LIMOUSINE INC.,'7182229999',No,424,BRIGHTON BEACH AVENUE,BROOKLYN,NY,11235,BLACK CAR BASE,40684202,-73978792,04/21/2024
B01413,SFL INC,'2123970004',No,48-50,34 STREET,LIC,NY,11101,LUXURY/LIMOUSINE,40739253,-73931942,04/21/2024
B03018,AUREUS LLC,'9178872105',No,240,KENT AVENUE,BROOKLYN,NY,11249,BLACK CAR BASE,407168599,-739656726,04/21/2024
B02756,ALLY CAR SERVICE LLC,'7184357777',No,2939,AVENUE Y,BROOKLYN,NY,11235,LIVERY BASE,40591996,-7393961,04/21/2024
B01338,3210 WEBSTER AV PRESTIGE C/S,'7187987700',No,3108,WEBSTER AVENUE,BRONX,NY,10467,LIVERY BASE,40871011,-7387645,04/21/2024
B02852,OP CAR SERVICE INC.,'7186598888',No,90-19,LIBERTY AVENUE,OZONE PARK,NY,11417,BLACK CAR BASE,40680275,-73848047,04/21/2024
B02833,ADVANCED LUXURY LIMO SVC. INC.,'7182312188',No,3945,PROVOST AVENUE,BRONX,NY,10466,BLACK CAR BASE,40833404,-7384037,04/21/2024
B00056,TRANSIT PRIVATE CAR SERVICE INC.,'7186494100',No,1407,ROCKAWAY PARKWAY,BROOKLYN,NY,11236,LIVERY BASE,40645455,-73902663,04/21/2024
B03174,NEW HEAVEN LUXURY INC,'2129231313',No,1059,ST NICHOLAS AVENUE,NEW YORK,NY,10032,BLACK CAR BASE,408366714,-739403354,04/21/2024
B02918,LEOPARD INC,'7183884488',No,670,FLUSHING AVE  #221,BROOKLYN,NY,11206,BLACK CAR BASE,40711065,-7394753,04/21/2024
B03434,BELLA CAR SRVICE CORPORATION,'5169865999',No,3418,NORTHERN BOULEVARD  SUITE 100,L.I.C.,NY,11101,BLACK CAR BASE,407517583,-73929177,04/21/2024
B02507,SARAH VENTURES INC.,'3473030625',No,2823,FREDERICK DOUGLASS BOULEVARD,NEW YORK,NY,10039,BLACK CAR BASE,40816898,-7392174,04/21/2024
B02551,CHIEF LIMO INC.,'7185051919',No,3708,100 STREET,QUEENS,NY,11368,BLACK CAR BASE,40738362,-73895646,04/21/2024
B03123,CLAY TRANSPORTATION INC.,'7189425544',No,788,E.TREMONT AVE,BRONX,NY,10460,BLACK CAR BASE,408437236,-738882747,04/21/2024
B02152,KYOEI LIMOUSINE INC.,'2129490868',No,57-48,MASPETH AVENUE,MASPETH,NY,11378,LUXURY/LIMOUSINE,40722961,-7391031,04/21/2024
B03156,EPIC CAR SERVICE INC.,'7184013742',No,385,EAST  152 STREET,BRONX,NY,10455,BLACK CAR BASE,408185779,-739173128,04/21/2024
B80164,TRANSXPRESS SERVICES INC,'7188999348',No,34-52,60TH STREET,WOODSIDE,NY,11377,COMMUTER VAN AUTHORITY BASE,40750472,-73902523,04/21/2024
B80100,CITY LINK CORPORATION,'7187237262',No,144-50,177 STREET,SPRINGFD GRND,NY,11434,COMMUTER VAN AUTHORITY BASE,40666208,-73772534,04/21/2024
B01452,AREAS TRANSP INC,'7189673232',No,5230,ARTHUR KILL ROAD,STATEN ISLAND,NY,10307,LIVERY BASE,40515342,-74244236,04/21/2024
B01381,CLASSIC CAR SERVICE CORP.,'7187281200',No,38-12,ASTORIA BOULEVARD,ASTORIA,NY,11103,LIVERY BASE,40768741,-73911531,04/21/2024
B02751,RELIANCE GROUP INC,'7188509100',No,148-09,LIBERTY AVENUE,JAMAICA,NY,11435,LUXURY/LIMOUSINE,40728434,-7378331,04/21/2024
B03396,ADAMES GROUP INC,'6315074932',No,63,3RD AVE,LINDENHURST,NY,11757,BLACK CAR BASE,407101523,-737928657,04/21/2024
B02627,A PEGASUS LIMOUSINE CORP.,'9737773007',No,176,SADDLE RIVER AVENUE  BLDG F,HACKENSACK,NJ,7606,LUXURY/LIMOUSINE,40863348,-7409752,04/21/2024
B03489,ACTION CAR SERVICE INC,'7187478820',No,105,FREDERICK PLACE,MOUNT VERNON,NY,10552,BLACK CAR BASE,409233656,-738251089,04/21/2024
B02711,TRANS CITY TRANSPORTATION INC,'2125050900',No,43 - 23,35 STREET,LIC,NY,11101,BLACK CAR BASE,40713758,-7375641,04/21/2024
B03307,LUXE RIDERS CORP,'2126557600',No,203,LAKEVIEW AVENUE,LYNBROOK,NY,11563,LUXURY/LIMOUSINE,40666736,-736632756,04/21/2024
B02303,MINEOLA TRANSPORTATION INC.,'9178595195',No,1267,ATLANTIC AVENUE,BROOKLYN,NY,11216,BLACK CAR BASE,40678709,-73948652,04/21/2024
B03080,AMBAR TRANSPORTATION INC.,'7186582222',No,8811,169TH STREET,QUEENS,NY,11432,BLACK CAR BASE,407101523,-737928657,04/21/2024
B01614,R TRANSPORT INC,'7188593400',Yes,1021,AVENUE H,BROOKLYN,NY,11230,LIVERY BASE,40629493,-7396644,04/21/2024
B03234,ALPHA EXPRESS RIDE CORP.,'8007860393',No,31 - 00,47 AVENUE  SUITE 3100,LIC,NY,11101,BLACK CAR BASE,407427791,-739353777,04/21/2024
B03228,LIQUID FOX TRANSPORTATION CORP.,'9179629640',No,605,EAST  132 STREET,BRONX,NY,10454,BLACK CAR BASE,40802559,-739188209,04/21/2024
B02037,KINGSDALE DISPATCH INC,'7187962222',No,3265,JOHNSON AVENUE,BRONX,NY,10463,LIVERY BASE,40880379,-73911322,04/21/2024
B03380,ELECTRIC PEPPERS LLC,'6316297678',No,273,SOUTH 5TH STREET  SUITE 301,BROOKLYN,NY,11211,BLACK CAR BASE,407093824,-739578508,04/21/2024
B01288,NEW ELEGANTE CAR SVC INC,'7183283333',No,1804,RANDALL AVENUE,BRONX,NY,10473,LIVERY BASE,40816803,-73862557,04/21/2024
B03443,SILK ROAD LIMOUSINE LLC,'3477592346',No,2348,LANCASTER AVE,EAST MEADOW,NY,11554,LUXURY/LIMOUSINE,407177055,-735550325,04/21/2024
B01469,BROTHERS CAR SERVICE INC.,'7182351100',No,241,CRESCENT STREET,BROOKLYN,NY,11208,LIVERY BASE,4068342,-73871853,04/21/2024
B02003,AVALON CORPORATE CAR INC.,'7184383666',No,1751,BATH AVENUE,BROOKLYN,NY,11214,BLACK CAR BASE,40638477,-73983333,04/21/2024
B00254,XYZ TWO WAY RADIO,'7187687333',No,32,ADELE STREET,STATEN ISLAND,NY,10305,BLACK CAR BASE,40661323,-7399142,04/21/2024
B02977,MEDROCK CAR SERVICE INC.,'7188884848',No,162-13,46 AVENUE  #2 FLOOR,FLUSHING,NY,11358,BLACK CAR BASE,40762492,-73803318,04/21/2024
B02292,NEW YORK APPLE V.I.P. CORP,'7182304789',No,372,WILSON AVENUE,BROOKLYN,NY,11221,BLACK CAR BASE,40694835,-73915817,04/21/2024
B03148,JUNIORS LUXURY 2 INC.,'7186332020',No,1509,CORTELYOU ROAD,BROOKLYN,NY,11226,BLACK CAR BASE,406415285,-739641737,04/21/2024
B90701,CATHAY EXPRESS TRANSPORTATION INC,'2123373333',No,98-51,QUEENS BOULEVARD  SUITE #2G,REGO PARK,NY,11374,PARATRANSIT BASE,40728061,-73856072,04/21/2024
B02406,MY SEDAN LLC,'2124340400',No,700,ROCKWAY TURNPIKE  SUITE # 202,LAWRENCE,NY,11559,LUXURY/LIMOUSINE,40753913,-73986417,04/21/2024
B00375,THE EXCELLENT C/S INC,'7187317777',Yes,144,EAST  174 STREET,BRONX,NY,10457,LIVERY BASE,40844708,-7390983,04/21/2024
B03420,TADA USA INC.,'7185395680',No,152-53,10 AVENUE  SUITE 210,WHITESTONE,NY,11357,BLACK CAR BASE,407935596,-738083166,04/21/2024
B03368,BEST CHOICE CAR SERVIE CORPORATION,'3474687823',No,7527,197 STREET  2ND FLOOR,FRESH MEADOWS,NY,11366,BLACK CAR BASE,407327926,-737735376,04/21/2024
B03414,FAIR RIDE GROUP INC.,'2123707549',No,40,WALL STREET  SUITE 2817,NEW YORK,NY,10005,BLACK CAR BASE,407071997,-74009646,04/21/2024
B02588,ND LINE INC.,'2124200101',No,84,CLINTON STREET,NEW YORK,NY,10002,BLACK CAR BASE,40718549,-7398515,04/21/2024
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,'7184600888',No,130-30,31 AVENUE  SUITE 801,FLUSHING,NY,11354,LIVERY BASE,4076995,-7383898,04/21/2024
B02868,CHA CHA TRANSPORTATION CORP,'7186830246',No,35 - 30,154 STREET  2ND FLOOR,FLUSHING,NY,11354,BLACK CAR BASE,40739075,-73787622,04/21/2024
B03282,HOLY TRANSPORTATION CORP.,'7186847711',No,1626,ST PETERS AVENUE  GROUND FLOOR,BRONX,NY,10461,BLACK CAR BASE,408413409,-73848243,04/21/2024
B02978,ONYX 1 INC,'5168844782',No,1225,FRANKLIN AVE  325,GARDEN CITY,NY,11530,BLACK CAR BASE,407340743,-736354595,04/21/2024
B02975,LI YANG LIMOUSINE INC,'9293379394',No,578,58 STREET,BROOKLYN,NY,11220,BLACK CAR BASE,40639423,-74013137,04/21/2024
B03341,STANDARDLUX INC.,'3473365559',No,2765,ATLANTIC AVENUE,BROOKLYN,NY,11207,BLACK CAR BASE,406765606,-738924173,04/21/2024
B01745,AZUAY CORPORATION,'7187384994',Yes,96-04,LIBERTY AVE,QUEENS,NY,11417,LIVERY BASE,4068254,-738359,04/21/2024
B02219,ALL QUEENS CAR & LIMOUSINE INC.,'7183921234',Yes,46-17,VERNON BOULEVARD,LIC,NY,11101,LIVERY BASE,4074628,-7395263,04/21/2024
B03017,SDR TRANSPORTATION CORP.,'7188630002',No,3800,EAST TREMONT AVENUE  #2,BRONX,NY,10465,BLACK CAR BASE,407101523,-737928657,04/21/2024
B03077,MGL TRANSPORT01 INC,'9299895585',No,238,JUNIUS STREET,BROOKLYN,NY,11212,BLACK CAR BASE,406971539,-736240911,04/21/2024
B03574,TALK TO US RIDE CORP.,'7184854686',No,866,NEW LOTS AVENUE  2A,BROOKLYN,NY,11208,BLACK CAR BASE,,,04/21/2024
B02912,FIRST CLASS LUXURY INC,'2123040452',No,4980,BROADWAY,NEW YORK,NY,10034,BLACK CAR BASE,40868198,-7391923,04/21/2024
B03299,WHITE TOP CAR SVCE INC,'7187746661',No,1111,ST JOHNS PLACE,BROOKLYN,NY,11213,BLACK CAR BASE,406712938,-739412512,04/21/2024
B02111,HUANG HOU CAR SERVICES INC.,'7187623333',No,35-27,FARRINGTON STREET,FLUSHING,NY,11354,LIVERY BASE,40763587,-73831238,04/21/2024
